,Date,User,Tweet,lokasi
0,2023-02-19 18:29:44+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/9s9pBtaK28,
1,2023-02-19 15:29:32+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/0G1wHc8Ix3,
2,2023-02-19 14:29:40+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/f2imzzrCtY,
3,2023-02-19 14:23:59+00:00,LamonganPkb,"Seberapa Kuat Elektabilitas PKB Partai Pengusung Cak Imin Di Pemilu 2024? 
#dpppkb #dpwpkbjatim #dpcpkblamongan #cakiminnow #halimiskandarnu #gofurla #pkb #cakimin  #muhaiminiskandar #capres2024  #gusdur #politik #gaspol #fyp https://t.co/984mb2LK5K",
4,2023-02-19 12:51:39+00:00,alimahfud200670,@dpcpkbjaksel @cakimin @DPP_PKB @Alam_PKBJaksel Katanya Prabowo cak imin,"جدة, المملكة العربية السعودية"
5,2023-02-19 11:29:17+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/RdxSLaYavr,
6,2023-02-19 07:29:32+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/tsa7Y3B17s,
7,2023-02-19 07:29:31+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/tt48P2AiIp,
8,2023-02-19 07:29:31+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/CWGdR4732h,
9,2023-02-19 06:29:44+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/DjpBvfpKYi,
